ADDRESS,city,state,Metro,zip,price,sq ft,acreage,pricesqft,list-card-label,list-card-variable-text,walkscore,description,LATITUDE,LONGITUDE,bike_score,transit_score
10 N Hollybush Ln,Bel Air,CA,Los Angeles,90077,60000,15681.6,0.36,3.82614019,acres lot,Sold 07/15/2020,16,Car-Dependent,34.094421,-118.440415,5,21
248-07 87th Dr,Bellerose,NY,New York,11426,370000,4000.0,0.09182736455,92.5,sqft lot,Sold 02/06/2019,84,Very Walkable,40.729385,-73.717216,54,62
8344 242nd St,Bellerose,NY,New York,11426,560000,3998.0,0.09178145087,140.070035,sqft lot,Sold 10/24/2019,70,Somewhat Walkable,40.734332,-73.725037,59,64
3546 W Marginal Way SW,Bellevue,WA,Seattle,98106,4350000,44866.8,1.03,96.95364947,acres lot,Sold 06/28/2019,44,Car-Dependent,47.572237,-122.357583,58,51
1421 Claridge Dr,Beverly Hills,CA,Los Angeles,90210,172500,6899.0,0.158379247,25.00362371,sqft lot,Sold 09/25/2019,1,Car-Dependent,34.096055,-118.420762,1,0
1427 Claridge Dr,Beverly Hills,CA,Los Angeles,90210,172500,6899.0,0.158379247,25.00362371,sqft lot,Sold 09/25/2019,1,Car-Dependent,34.096267,-118.420643,1,0
9836 Portola Dr,Beverly Hills,CA,Los Angeles,90210,330000,7623.0,0.175,43.29004329,sqft lot,Sold 03/03/2020,1,Car-Dependent,34.110008,-118.433059,53,0
2526 Benedict Canyon Dr,Beverly Hills,CA,Los Angeles,90210,700000,25264.8,0.58,27.70653241,acres lot,Sold 05/26/2020,6,Car-Dependent,34.1173,-118.435201,2,0
2232 Benedict Canyon Dr,Beverly Hills,CA,Los Angeles,90210,880000,15246.0,0.35,57.72005772,acres lot,Sold 09/03/2019,4,Car-Dependent,34.110809,-118.435135,1,0
1420 Bella Dr,Beverly Hills,CA,Los Angeles,90210,1500000,84070.8,1.93,17.84210451,acres lot,Sold 04/27/2020,0,Car-Dependent,34.095847,-118.43397,0,0
1312 Beverly Grove Pl,Beverly Hills,CA,Los Angeles,90210,1890000,19166.4,0.44,98.61006762,acres lot,Sold 01/31/2019,1,Car-Dependent,34.095875,-118.425734,0,0
1785 Summitridge Drive,Beverly Hills,CA,Los Angeles,90210,13500000,76665.6,1.76,176.0894065,acres lot,Sold 01/09/2020,0,Car-Dependent,34.102443,-118.420179,0,0
1357 Laurel Way,Beverly Hills,CA,Los Angeles,90210,18000000,22215.6,0.51,810.241452,acres lot,Sold 11/15/2019,3,Car-Dependent,34.096054,-118.41808,2,0
1620 Summitridge Dr,Beverly Hills,CA,Los Angeles,90210,2450000,14810.4,0.34,165.4242964,acres lot,Sold 02/07/2019,0,Car-Dependent,34.099913,-118.42013,0,0
9921 Shangri La Dr,Beverly Hills,CA,Los Angeles,90210,4000000,18730.8,0.43,213.5520106,acres lot,Sold 04/01/2019,0,Car-Dependent,34.0996,-118.426881,0,0
2545 Bowmont Dr,Beverly Hills,CA,Los Angeles,90210,8700000,57499.2,1.32,151.306453,acres lot,Sold 06/08/2020,0,Car-Dependent,34.11568,-118.400666,2,0
9 E 10th Rd,Broad Channel,NY,New York,11693,95000,3371.0,0.07738751148,28.1815485,sqft lot,Sold 08/25/2020,46,Car-Dependent,40.605925,-73.819068,55,79
33 W 12th Rd,Broad Channel,NY,New York,11693,245000,4800.0,0.1101928375,51.04166667,sqft lot,Sold 07/31/2020,47,Car-Dependent,40.604746,-73.821459,55,77
415 E 162nd St,Bronx,NY,New York,10451,750000,2500.0,0.05739210285,300.0,sqft lot,Sold 01/07/2020,93,Walker's Paradise,40.824808,-73.912838,74,100
121-123 E 144th St,Bronx,NY,New York,10451,11600000,12632.4,0.29,918.2736455,acres lot,Sold 04/29/2019,89,Very Walkable,40.81713,-73.929604,75,100
335 Grand Concourse,Bronx,NY,New York,10451,3600000,4937.0,0.1133379247,729.1877658,sqft lot,Sold 06/21/2018,89,Very Walkable,40.815138,-73.929071,75,100
2415 3rd Ave,Bronx,NY,New York,10451,64700000,4400.0,0.101010101,14704.54545,sqft lot,Sold 01/09/2020,88,Very Walkable,40.808554,-73.931111,79,100
2401 3rd Ave,Bronx,NY,New York,10451,87900000,67082.4,1.54,1310.32879,acres lot,Sold 01/14/2020,82,Very Walkable,40.808665,-73.931918,79,100
94 W 169th St,Bronx,NY,New York,10452,355000,4477.0,0.1027777778,79.2941702,sqft lot,Sold 05/21/2018,95,Walker's Paradise,40.839337,-73.92348,55,100
1256 Shakespeare Ave,Bronx,NY,New York,10452,395460,2953.0,0.06779155188,133.9180494,sqft lot,Sold 02/12/2019,95,Walker's Paradise,40.838502,-73.9227,55,100
1033 Summit Ave,Bronx,NY,New York,10452,475000,2186.0,0.05018365473,217.2918573,sqft lot,Sold 10/29/2019,86,Very Walkable,40.834215,-73.929899,52,100
1008 Ogden Ave,Bronx,NY,New York,10452,525000,3179.0,0.07297979798,165.1462724,sqft lot,Sold 09/09/2020,90,Walker's Paradise,40.833095,-73.928896,71,100
976 Woodycrest Ave,Bronx,NY,New York,10452,775000,3750.0,0.08608815427,206.6666667,sqft lot,Sold 05/10/2018,91,Walker's Paradise,40.831907,-73.928223,45,100
978 Woodycrest Ave,Bronx,NY,New York,10452,775000,3750.0,0.08608815427,206.6666667,sqft lot,Sold 05/11/2018,91,Walker's Paradise,40.831997,-73.928153,45,100
1472 Shakespeare Ave,Bronx,NY,New York,10452,990000,6795.0,0.1559917355,145.6953642,sqft lot,Sold 05/31/2018,89,Very Walkable,40.84371,-73.919692,62,100
61 Buchanan Pl,Bronx,NY,New York,10453,20400,2500.0,0.05739210285,8.16,sqft lot,Sold 07/17/2018,92,Walker's Paradise,40.858682,-73.906465,62,100
8 E Clifford Pl,Bronx,NY,New York,10453,150000,2500.0,0.05739210285,60.0,sqft lot,Sold 01/24/2019,93,Walker's Paradise,40.846729,-73.913617,52,100
2026 Walton Ave,Bronx,NY,New York,10453,725000,2500.0,0.05739210285,290.0,sqft lot,Sold 09/10/2018,94,Walker's Paradise,40.852714,-73.906801,68,100
2028 Walton Ave,Bronx,NY,New York,10453,725000,2500.0,0.05739210285,290.0,sqft lot,Sold 09/10/2018,94,Walker's Paradise,40.852806,-73.906702,68,100
1907 Harrison Ave,Bronx,NY,New York,10453,815000,1907.0,0.04377869605,427.3728369,sqft lot,Sold 05/20/2019,93,Walker's Paradise,40.853157,-73.91124,53,100
1665-1675 Jerome Ave,Bronx,NY,New York,10453,3100000,10000.0,0.2295684114,310.0,sqft lot,Sold 09/27/2019,94,Walker's Paradise,40.845693,-73.913972,62,100
725 E 141st St,Bronx,NY,New York,10454,412391,2178.0,0.05,189.3438935,sqft lot,Sold 08/07/2018,85,Very Walkable,40.80705,-73.911075,78,82
E 141st St,Bronx,NY,New York,10454,9520000,35719.2,0.82,266.5233264,acres lot,Sold 09/11/2020,66,Somewhat Walkable,40.806218,-73.906679,66,78
536 Timpson Pl,Bronx,NY,New York,10455,249375,1907.0,0.04377869605,130.7682223,sqft lot,Sold 03/26/2018,90,Walker's Paradise,40.811093,-73.903779,66,96
860-864 E 147th St,Bronx,NY,New York,10455,2350000,7270.0,0.1668962351,323.2462173,sqft lot,Sold 02/12/2018,91,Walker's Paradise,40.810318,-73.904936,66,97
428 E 148th St,Bronx,NY,New York,10455,7500000,2483.0,0.05700183655,3020.53967,sqft lot,Sold 01/08/2020,96,Walker's Paradise,40.81466,-73.917168,79,100
892 Eagle Ave,Bronx,NY,New York,10456,101825,1873.0,0.04299816345,54.36465563,sqft lot,Sold 04/04/2018,91,Walker's Paradise,40.822276,-73.908097,65,100
1270 Boston Rd,Bronx,NY,New York,10456,188376,1500.0,0.03443526171,125.584,sqft lot,Sold 04/19/2019,91,Walker's Paradise,40.830711,-73.900322,74,100
E 161st St,Bronx,NY,New York,10456,405000,2700.0,0.06198347107,150.0,sqft lot,Sold 12/10/2020,93,Walker's Paradise,40.820947,-73.903241,66,100
1114 Washington Ave,Bronx,NY,New York,10456,545000,3060.0,0.07024793388,178.1045752,sqft lot,Sold 07/25/2018,90,Walker's Paradise,40.828827,-73.907902,76,99
510 Weiher Ct,Bronx,NY,New York,10456,782146,426.0,0.009779614325,1836.023474,sqft lot,Sold 04/02/2018,91,Walker's Paradise,40.826095,-73.908589,60,100
Weiher Ct,Bronx,NY,New York,10456,782146,783.0,0.01797520661,998.9093231,sqft lot,Sold 04/02/2018,89,Very Walkable,40.826261,-73.908745,66,100
1306 Findlay Ave,Bronx,NY,New York,10456,1650000,2000.0,0.04591368228,825.0,sqft lot,Sold 09/15/2020,88,Very Walkable,40.835149,-73.910637,71,99
972 Washington Ave,Bronx,NY,New York,10456,3380000,10790.0,0.2477043159,313.253012,sqft lot,Sold 11/20/2019,90,Walker's Paradise,40.825319,-73.909715,72,100
1981 Crotona Ave,Bronx,NY,New York,10457,1000,1672.0,0.03838383838,0.5980861244,sqft lot,Sold 09/24/2020,96,Walker's Paradise,40.84643,-73.890637,72,96
2087 Washington Ave,Bronx,NY,New York,10457,80000,2099.0,0.04818640955,38.11338733,sqft lot,Sold 07/17/2020,91,Walker's Paradise,40.851325,-73.89597,57,98
374 E 173rd St,Bronx,NY,New York,10457,100000,1306.0,0.02998163453,76.56967841,sqft lot,Sold 12/20/2018,89,Very Walkable,40.842983,-73.904144,72,100
2081 Bathgate,Bronx,NY,New York,10457,165000,2352.0,0.05399449036,70.15306122,sqft lot,Sold 07/14/2018,93,Walker's Paradise,40.850899,-73.895189,65,97
Monterey,Bronx,NY,New York,10457,170000,1875.0,0.04304407713,90.66666667,sqft lot,Sold 06/26/2018,95,Walker's Paradise,40.846724,-73.895363,68,99
Monterey Ave,Bronx,NY,New York,10457,170000,1742.0,0.03999081726,97.58897819,sqft lot,Sold 07/03/2018,95,Walker's Paradise,40.846915,-73.895376,68,99
417 E 180th St,Bronx,NY,New York,10457,224015,1769.0,0.04061065197,126.6336914,sqft lot,Sold 02/18/2020,92,Walker's Paradise,40.852264,-73.897237,61,100
2099 Valentine Ave,Bronx,NY,New York,10457,240000,2591.0,0.05948117539,92.62832883,sqft lot,Sold 12/07/2018,94,Walker's Paradise,40.853177,-73.900039,56,100
2018 Belmont Ave,Bronx,NY,New York,10457,262883,2922.0,0.06707988981,89.96680356,sqft lot,Sold 07/16/2018,95,Walker's Paradise,40.84748,-73.890436,71,95
4145 Park Ave,Bronx,NY,New York,10457,370000,1999.0,0.04589072544,185.0925463,sqft lot,Sold 12/10/2018,92,Walker's Paradise,40.846223,-73.900597,75,100
2233 Bathgate Ave,Bronx,NY,New York,10457,450000,2339.0,0.05369605142,192.3899102,sqft lot,Sold 09/18/2019,93,Walker's Paradise,40.853509,-73.893171,57,100
1928 Prospect Ave,Bronx,NY,New York,10457,485000,2374.0,0.05449954086,204.2965459,sqft lot,Sold 09/13/2019,94,Walker's Paradise,40.843518,-73.889433,74,97
1821 Prospect Ave,Bronx,NY,New York,10457,985000,6499.0,0.1491965106,151.5617787,sqft lot,Sold 03/12/2020,91,Walker's Paradise,40.842369,-73.891404,73,98
4387 3rd,Bronx,NY,New York,10457,1350000,41331470.4,948.84,0.03266276246,acres lot,Sold 11/01/2018,93,Walker's Paradise,40.851057,-73.894127,65,97
Dorothea Pl,Bronx,NY,New York,10458,2500,5650.0,0.1297061524,0.4424778761,sqft lot,Sold 09/14/2018,93,Walker's Paradise,40.862584,-73.891607,54,100
446 Cyrus Pl,Bronx,NY,New York,10458,110000,2321.0,0.05328282828,47.39336493,sqft lot,Sold 03/07/2018,95,Walker's Paradise,40.85854,-73.892065,58,100
2407 Cambreleng Ave,Bronx,NY,New York,10458,200000,1742.0,0.03999081726,114.8105626,sqft lot,Sold 05/20/2019,98,Walker's Paradise,40.854882,-73.885422,61,94
2860 Valentine Ave,Bronx,NY,New York,10458,208741,2482.0,0.05697887971,84.10193392,sqft lot,Sold 03/28/2019,93,Walker's Paradise,40.869619,-73.889287,65,100
2851 Bainbridge Ave,Bronx,NY,New York,10458,290000,3485.0,0.08000459137,83.21377331,sqft lot,Sold 07/31/2019,92,Walker's Paradise,40.869014,-73.887808,65,100
2668 Marion Ave,Bronx,NY,New York,10458,295859,7840.0,0.1799816345,37.73711735,sqft lot,Sold 09/10/2020,92,Walker's Paradise,40.864788,-73.890108,51,100
2862 Valentine Ave,Bronx,NY,New York,10458,300000,2475.0,0.05681818182,121.2121212,sqft lot,Sold 11/04/2020,92,Walker's Paradise,40.869659,-73.889216,65,100
695 E 183rd St,Bronx,NY,New York,10458,375000,1999.0,0.04589072544,187.5937969,sqft lot,Sold 11/22/2019,97,Walker's Paradise,40.852238,-73.88566,62,90
360 E 184th St,Bronx,NY,New York,10458,460000,2491.0,0.05718549128,184.6647933,sqft lot,Sold 10/09/2020,95,Walker's Paradise,40.85773,-73.895825,42,100
2648 Bainbridge Ave,Bronx,NY,New York,10458,480000,2273.0,0.05218089991,211.174659,sqft lot,Sold 07/22/2020,95,Walker's Paradise,40.864759,-73.891792,52,100
2470 Arthur Ave,Bronx,NY,New York,10458,519000,1337.0,0.0306932966,388.1824981,sqft lot,Sold 06/26/2019,97,Walker's Paradise,40.85699,-73.886023,59,96
2383 Bathgate Ave,Bronx,NY,New York,10458,519308,2500.0,0.05739210285,207.7232,sqft lot,Sold 10/23/2018,97,Walker's Paradise,40.856611,-73.890425,56,100
361 E 194th St,Bronx,NY,New York,10458,720000,3898.0,0.08948576676,184.7101077,sqft lot,Sold 12/07/2018,92,Walker's Paradise,40.863869,-73.890412,51,100
2711 Decatur Ave,Bronx,NY,New York,10458,754000,3179.0,0.07297979798,237.1815036,sqft lot,Sold 07/30/2020,93,Walker's Paradise,40.865318,-73.888715,48,100
882 Home St,Bronx,NY,New York,10459,105000,1300.0,0.02984389348,80.76923077,sqft lot,Sold 04/17/2019,91,Walker's Paradise,40.827968,-73.896133,75,100
810 E 169th St,Bronx,NY,New York,10459,126000,1764.0,0.04049586777,71.42857143,sqft lot,Sold 10/05/2018,92,Walker's Paradise,40.82965,-73.898492,69,100
968 Rogers Pl,Bronx,NY,New York,10459,315000,1981.0,0.0454775023,159.0106007,sqft lot,Sold 07/16/2019,93,Walker's Paradise,40.823089,-73.89758,77,100
810 E 165th St,Bronx,NY,New York,10459,375000,1999.0,0.04589072544,187.5937969,sqft lot,Sold 05/17/2019,93,Walker's Paradise,40.824172,-73.90111,69,100
1100 Westchester Ave,Bronx,NY,New York,10459,400000,1306.0,0.02998163453,306.2787136,sqft lot,Sold 10/18/2018,94,Walker's Paradise,40.825219,-73.890418,82,100
947 Westchester Ave,Bronx,NY,New York,10459,400000,1476.0,0.03388429752,271.00271,sqft lot,Sold 07/15/2020,95,Walker's Paradise,40.822429,-73.896589,79,100
1147 Vyse Ave,Bronx,NY,New York,10459,437500,1999.0,0.04589072544,218.8594297,sqft lot,Sold 02/24/2020,92,Walker's Paradise,40.827635,-73.890234,82,100
1167 Vyse Ave,Bronx,NY,New York,10459,437500,2000.0,0.04591368228,218.75,sqft lot,Sold 02/21/2020,89,Very Walkable,40.828186,-73.890227,81,100
947 Freeman St,Bronx,NY,New York,10459,475000,2674.0,0.0613865932,177.6364996,sqft lot,Sold 11/09/2018,87,Very Walkable,40.830344,-73.890271,79,100
845 Southern Blvd,Bronx,NY,New York,10459,485000,3001.0,0.06889348026,161.6127957,sqft lot,Sold 01/02/2019,97,Walker's Paradise,40.817866,-73.895091,76,100
1165 Hoe Ave,Bronx,NY,New York,10459,630000,2500.0,0.05739210285,252.0,sqft lot,Sold 03/25/2020,90,Very Walkable,40.827895,-73.891171,77,100
1230 Prospect Ave,Bronx,NY,New York,10459,1200000,2904.0,0.06666666667,413.2231405,sqft lot,Sold 10/17/2019,90,Walker's Paradise,40.827431,-73.89809,71,100
1784 Merrill St,Bronx,NY,New York,10460,50000,1481.0,0.03399908173,33.76097232,sqft lot,Sold 04/11/2019,92,Walker's Paradise,40.836616,-73.867966,43,100
1760 E Tremont Ave,Bronx,NY,New York,10460,150000,2265.0,0.05199724518,66.22516556,sqft lot,Sold 08/27/2019,87,Very Walkable,40.839424,-73.869055,62,100
1713 Taylor Ave,Bronx,NY,New York,10460,177000,2375.0,0.0545224977,74.52631579,sqft lot,Sold 08/02/2019,84,Very Walkable,40.842273,-73.869286,72,95
633 Mead St,Bronx,NY,New York,10460,215000,25264.8,0.58,8.509863526,acres lot,Sold 11/12/2019,92,Walker's Paradise,40.842739,-73.866585,65,92
1159 E Tremont Ave,Bronx,NY,New York,10460,375000,1080.0,0.02479338843,347.2222222,sqft lot,Sold 05/15/2018,79,Very Walkable,40.840041,-73.875083,72,100
1827 Waterloo Pl,Bronx,NY,New York,10460,500000,2360.0,0.05417814509,211.8644068,sqft lot,Sold 06/24/2020,90,Very Walkable,40.840491,-73.88775,59,99
Mohegan Ave,Bronx,NY,New York,10460,649058,2711.0,0.06223599633,239.4164515,sqft lot,Sold 12/05/2019,89,Very Walkable,40.84059,-73.888287,67,99
1369 Leland Ave,Bronx,NY,New York,10460,800000,7165.0,0.1644857668,111.653873,sqft lot,Sold 02/21/2020,96,Walker's Paradise,40.834851,-73.86428,38,100
915 Elsmere Pl,Bronx,NY,New York,10460,2900000,49222.8,1.13,58.91578699,acres lot,Sold 07/09/2020,92,Walker's Paradise,40.841668,-73.884795,74,97
Daly Ave,Bronx,NY,New York,10460,4310000,1110.0,0.02548209366,3882.882883,sqft lot,Sold 02/09/2018,90,Walker's Paradise,40.840767,-73.88454,79,100
1159 Crosby Ave,Bronx,NY,New York,10461,150000,2652.0,0.0608815427,56.56108597,sqft lot,Sold 02/09/2018,90,Very Walkable,40.835375,-73.827378,53,74
2913 Lasalle Ave,Bronx,NY,New York,10461,165000,2500.0,0.05739210285,66.0,sqft lot,Sold 11/25/2020,90,Very Walkable,40.839215,-73.830943,70,84
2865 Coddington Ave,Bronx,NY,New York,10461,225000,3009.0,0.06907713499,74.77567298,sqft lot,Sold 01/16/2020,90,Walker's Paradise,40.839302,-73.833091,76,85
1149 Pierce Ave,Bronx,NY,New York,10461,350000,2961.0,0.06797520661,118.2033097,sqft lot,Sold 08/06/2019,87,Very Walkable,40.847449,-73.848725,69,84
1604 Williamsbridge Rd,Bronx,NY,New York,10461,350000,3978.0,0.09132231405,87.98391151,sqft lot,Sold 08/06/2019,90,Walker's Paradise,40.847335,-73.848962,71,84
1680 Stillwell Ave,Bronx,NY,New York,10461,850000,8001.0,0.183677686,106.2367204,sqft lot,Sold 07/10/2018,67,Somewhat Walkable,40.855931,-73.839277,92,83
1960 Bogart Ave,Bronx,NY,New York,10462,200000,1089.0,0.025,183.6547291,sqft lot,Sold 05/22/2018,88,Very Walkable,40.851008,-73.860406,69,91
2069 Bogartave,Bronx,NY,New York,10462,220000,6973.0,0.1600780533,31.55026531,sqft lot,Sold 04/19/2018,93,Walker's Paradise,40.853468,-73.861299,71,90
2071 Bogart,Bronx,NY,New York,10462,350000,4000.0,0.09182736455,87.5,sqft lot,Sold 02/28/2020,93,Walker's Paradise,40.853369,-73.861357,71,90
2107 Matthews Ave,Bronx,NY,New York,10462,445000,2500.0,0.05739210285,178.0,sqft lot,Sold 02/05/2020,95,Walker's Paradise,40.85375,-73.863237,80,92
3828 Orloff Ave,Bronx,NY,New York,10463,50000,2178.0,0.05,22.95684114,sqft lot,Sold 02/22/2019,91,Walker's Paradise,40.883076,-73.896637,54,100
3904 Orloff Ave,Bronx,NY,New York,10463,265000,3214.0,0.07378328742,82.45177349,sqft lot,Sold 09/08/2020,88,Very Walkable,40.884007,-73.894775,53,99
56 Marble Hill Ave,Bronx,NY,New York,10463,450000,3275.0,0.07518365473,137.4045802,sqft lot,Sold 07/19/2019,96,Walker's Paradise,40.875657,-73.909406,51,92
2662 Kingsbridge Ter,Bronx,NY,New York,10463,600000,4133.0,0.09488062443,145.1729978,sqft lot,Sold 06/05/2019,89,Very Walkable,40.870087,-73.905096,38,100
2658 Kingsbridge Ter,Bronx,NY,New York,10463,650000,4264.0,0.09788797062,152.4390244,sqft lot,Sold 06/05/2019,89,Very Walkable,40.869937,-73.905181,38,100
3188 Riverdale Ave,Bronx,NY,New York,10463,8100000,1292.0,0.02966023875,6269.349845,sqft lot,Sold 06/06/2018,96,Walker's Paradise,40.88231,-73.90834,40,89
115 Rochelle St,Bronx,NY,New York,10464,435000,5000.0,0.1147842057,87.0,sqft lot,Sold 02/03/2020,50,Car-Dependent,40.838918,-73.784248,40,37
110 Schofield St,Bronx,NY,New York,10464,550000,9861.0,0.2263774105,55.77527634,sqft lot,Sold 03/23/2020,76,Very Walkable,40.844831,-73.785968,46,37
81 Carroll St,Bronx,NY,New York,10464,560000,10890.0,0.25,51.42332415,acres lot,Sold 08/15/2019,75,Very Walkable,40.845702,-73.787437,44,37
81 Carol,Bronx,NY,New York,10464,565000,0.0,0.0,,sqft lot,Sold 07/16/2019,75,Very Walkable,40.845694,-73.787444,44,37
Shore Dr,Bronx,NY,New York,10464,950000,16117.2,0.37,58.94324076,acres lot,Sold 06/30/2020,22,Car-Dependent,40.88348,-73.794548,26,25
Chaffee Ave,Bronx,NY,New York,10465,45000,8000.0,0.1836547291,5.625,sqft lot,Sold 06/11/2019,50,Somewhat Walkable,40.814839,-73.807548,44,48
Longstreet Ave,Bronx,NY,New York,10465,45000,18295.2,0.42,2.459661551,acres lot,Sold 06/12/2019,42,Car-Dependent,40.819908,-73.806613,39,48
721 Clarence Ave,Bronx,NY,New York,10465,200000,2500.0,0.05739210285,80.0,sqft lot,Sold 08/10/2018,75,Very Walkable,40.83003,-73.815785,50,55
Shore Dr,Bronx,NY,New York,10465,350000,5000.0,0.1147842057,70.0,sqft lot,Sold 02/19/2020,42,Car-Dependent,40.820339,-73.806129,39,47
3236 Schley Ave,Bronx,NY,New York,10465,400000,67953.6,1.56,5.886369523,acres lot,Sold 04/08/2020,59,Somewhat Walkable,40.827557,-73.813137,46,51
834 Hollywood Ave,Bronx,NY,New York,10465,640000,2000.0,0.04591368228,320.0,sqft lot,Sold 11/09/2020,87,Very Walkable,40.830341,-73.821328,50,59
222 Longstreet Ave,Bronx,NY,New York,10465,800000,2500.0,0.05739210285,320.0,sqft lot,Sold 11/17/2018,42,Car-Dependent,40.81956,-73.80613,39,48
3705 Rombouts Ave,Bronx,NY,New York,10466,42766,4791.0,0.1099862259,8.926320184,sqft lot,Sold 12/20/2018,84,Very Walkable,40.886701,-73.830443,57,73
2083 Bussing Ave,Bronx,NY,New York,10466,60000,2426.0,0.0556932966,24.73206925,sqft lot,Sold 10/15/2018,64,Somewhat Walkable,40.896268,-73.841942,57,73
2074 Edenwald Ave,Bronx,NY,New York,10466,75000,2500.0,0.05739210285,30.0,sqft lot,Sold 09/14/2020,69,Somewhat Walkable,40.893292,-73.840802,52,72
4136 Boyd Ave,Bronx,NY,New York,10466,90000,2374.0,0.05449954086,37.91069924,sqft lot,Sold 08/28/2019,80,Very Walkable,40.892723,-73.849996,59,84
967 E 226th St,Bronx,NY,New York,10466,100000,2735.0,0.06278696051,36.5630713,sqft lot,Sold 05/08/2020,76,Very Walkable,40.886178,-73.851967,82,83
E 221st St,Bronx,NY,New York,10466,105000,2857.0,0.06558769513,36.75183759,sqft lot,Sold 03/06/2019,85,Very Walkable,40.884529,-73.860576,78,90
4151 Gunther Ave,Bronx,NY,New York,10466,120000,2500.0,0.05739210285,48.0,sqft lot,Sold 08/27/2019,80,Very Walkable,40.893125,-73.849776,59,84
3925 Provost Ave,Bronx,NY,New York,10466,165000,2500.0,0.05739210285,66.0,sqft lot,Sold 11/17/2020,75,Very Walkable,40.889631,-73.827994,49,72
3643 Palmer Ave,Bronx,NY,New York,10466,300000,5022.0,0.1152892562,59.73715651,sqft lot,Sold 10/15/2020,77,Very Walkable,40.88424,-73.838465,62,78
Mulvey Ave,Bronx,NY,New York,10466,300000,4732.0,0.1086317723,63.39814032,sqft lot,Sold 03/05/2020,75,Very Walkable,40.890531,-73.828423,49,72
713 E 235th St,Bronx,NY,New York,10466,490000,12196.8,0.28,40.17447199,acres lot,Sold 05/26/2020,90,Very Walkable,40.894859,-73.855811,54,90
Conner St,Bronx,NY,New York,10466,501800,4466.0,0.1025252525,112.3600537,sqft lot,Sold 10/31/2019,86,Very Walkable,40.886211,-73.828747,53,79
1065 E 232nd St,Bronx,NY,New York,10466,580000,3184.0,0.07309458219,182.160804,sqft lot,Sold 10/19/2018,84,Very Walkable,40.889459,-73.846726,70,77
4114-4116 Boyd Ave,Bronx,NY,New York,10466,679965,3554.0,0.08158861341,191.3238604,sqft lot,Sold 02/19/2020,83,Very Walkable,40.892143,-73.849774,65,83
4212 Digney Ave,Bronx,NY,New York,10466,700000,6730.0,0.1544995409,104.0118871,sqft lot,Sold 10/05/2018,82,Very Walkable,40.893904,-73.851388,51,87
4631 Murdock Ave,Bronx,NY,New York,10466,875000,3023.0,0.06939853076,289.4475686,sqft lot,Sold 12/24/2020,75,Very Walkable,40.903882,-73.845544,48,84
773 E 233rd St,Bronx,NY,New York,10466,7000000,29620.8,0.68,236.3204235,acres lot,Sold 12/26/2018,88,Very Walkable,40.892763,-73.854632,56,89
2241 White Plains Rd,Bronx,NY,New York,10467,150000,8553.0,0.1963498623,17.53770607,sqft lot,Sold 08/16/2018,92,Walker's Paradise,40.858789,-73.868059,77,94
722 E 218th St,Bronx,NY,New York,10467,197000,3049.0,0.06999540863,64.61134798,sqft lot,Sold 05/07/2018,87,Very Walkable,40.882355,-73.862334,76,95
716 E 221st St,Bronx,NY,New York,10467,350000,6873.0,0.1577823691,50.92390514,sqft lot,Sold 01/31/2020,88,Very Walkable,40.884609,-73.861611,70,92
